Título,Data,URL,Visualizações,Duração,Tipo
PARA PARA MAIS UMA LIVIZINHA MASSA BIXO,2025-05-31T04:56:24+00:00,https://www.youtube.com/watch?v=p6McsBs85Qs,622,P0D,live
LIVIZINHA RESENHA,2025-05-30T04:18:08+00:00,https://www.youtube.com/watch?v=Xd9EPmx5FdE,1837,PT3H29M49S,none
LIVE COM UM MACAC0,2025-05-29T04:32:22+00:00,https://www.youtube.com/watch?v=cvKHVdyku-I,2544,PT3H32M46S,none
EXPOSED DO CAVALÃO,2025-05-28T04:42:07+00:00,https://www.youtube.com/watch?v=QGo1duMQoo4,1309,PT3H14M39S,none
KOÉÉÉÉÉ CAVALO CLIPEXXX,2025-05-27T04:49:32+00:00,https://www.youtube.com/watch?v=OZ2fYlHz-Gk,2317,PT3H43M41S,none
SEXTA-FEIRA EM CASA PORQUE NÃO GOSTO DE PESSOAS,2025-05-24T05:00:23+00:00,https://www.youtube.com/watch?v=PoohSvjrq3g,1324,PT4H2M12S,none
LIVE DO MEDO,2025-05-23T04:31:23+00:00,https://www.youtube.com/watch?v=PqbdCX1j9YI,2142,PT3H19M46S,none
NEGRO!!!!,2025-05-22T04:49:47+00:00,https://www.youtube.com/watch?v=pcrEJB8qPaU,2196,PT3H58M50S,none
SHEIPADO NEGR0,2025-05-20T04:43:42+00:00,https://www.youtube.com/watch?v=jHai0xp8FaA,2170,PT3H49M23S,none
LIVE COM OS AMIGUINHOS 🥰🥰🥰,2025-05-19T04:10:26+00:00,https://www.youtube.com/watch?v=oD91eTRqL_o,2449,PT4H18M34S,none
LIVE SÓ PARA QUEBRAR O CLIMA,2025-05-18T04:48:06+00:00,https://www.youtube.com/watch?v=YIRN1tA-cC8,1634,PT3H19M12S,none
EU SOU HOMEM E GOSTO DE LADY GAGA,2025-05-15T05:23:37+00:00,https://www.youtube.com/watch?v=r9Psin1rVd4,1213,PT3H30M13S,none
SOU TRISTE ATÉ NA FELICIDADE,2025-05-13T04:43:21+00:00,https://www.youtube.com/watch?v=4HztGY2WrY8,1817,PT3H16M49S,none
UM SONHO: UM MUNDO SEM MULHER.,2025-05-12T04:28:13+00:00,https://www.youtube.com/watch?v=bZZrRIMiqlQ,1790,PT3H36M30S,none
SOLTEIRO POR OPÇÃO,2025-05-11T04:48:02+00:00,https://www.youtube.com/watch?v=6Jx3meXSeWY,1192,PT3H12M46S,none
NÃO AGUENTO MAIS VER VÍDEO DE GTA 6 SENDO QUE ESSE M3RDA É SÓ ANO QUE VEM KKKKKKKKKKKKKKKKKKKKKKKKKK,2025-05-10T05:01:00+00:00,https://www.youtube.com/watch?v=U48LoeK3IoM,2200,PT4H7M51S,none
MULHER É UM ATRASO NA VIDA,2025-05-08T06:35:19+00:00,https://www.youtube.com/watch?v=GD-kbVpBW0U,2244,PT5H37M17S,none
