Título,Data,URL,Visualizações,Duração (s),Foi Live?
"🔴 DEVOUR COM FÃS E FANBOYS ATÉ PASSAR DAS 3H DA MANHÃ: FIQUEM COMIGO PQ REAL, TENHO SENSAÇÃO DO MEDO",2025-06-01T12:01:04+00:00,https://www.youtube.com/watch?v=_6HsTzWJ6pU,2354,20714,live
"🔴 FESTA JUNINA COM @Gandulaplayer,@Jhebss , @leafarfx, @joaohenriquejhonny E  A LOIRA FIEL",2025-06-01T04:44:17+00:00,https://www.youtube.com/watch?v=pTOTW_aD8pk,7360,37698,live
🔴 ANIME BARRA WORLD COM OS YOUTUBES ATÉ VIRAR À NOITE,2025-05-30T13:40:00+00:00,https://www.youtube.com/watch?v=Sn2bLJMKtho,3660,35103,live
🔴 IRL: TESTANDO A PLATAFORMA,2025-05-29T21:52:29+00:00,https://www.youtube.com/watch?v=dZZpPFOJgxw,1169,8381,live
🔴 BATTLEUTIST V MODO HISTORIA: GUERRA EM 1944 NO MODO HARD COM RAGES E ASTRO BOT PS5,2025-05-29T18:31:05+00:00,https://www.youtube.com/watch?v=ixOJGrvsvDs,1502,16536,live
"🔴 ALAN WAKEPADO PC PARTE 2 EM PORTUGUES DO BRASIL, GRATIDÃO PELA DICA @sirmulim2",2025-05-28T02:50:45+00:00,https://www.youtube.com/watch?v=fCmT2yZ91hs,1824,22360,live
🔴 ALAN WAKEPADO PC PARTE 1 NO MODO AUTISTE PRIME COM CONTROLE DO PS5 PRO PURPLE 3.0,2025-05-27T16:20:21+00:00,https://www.youtube.com/watch?v=nZbSOU_MKak,1722,13025,live
🔴 EVENTO CENTER GEEK COM MEU MOZÃO RAPOSITO DO BIGODINHO QUE ME FAZ BABAR,2025-05-26T01:00:13+00:00,https://www.youtube.com/watch?v=snLQo1Qs4F8,5342,17064,live
"🔴 BATTLEUTIST V: MODO HISTORIA, ASTRO BOT PS5 E BATE PAPO COM MINHA GATA Q DOU O BUMBUM SEM PENSAR",2025-05-21T03:07:01+00:00,https://www.youtube.com/watch?v=sZMd7mHBrN8,4492,27052,live
"🔴 BATTLEUTIST V: MODO HISTORIA E REACT DO MEU FILME DA LUTA CALVOESFERA, GRATIDÃO @Termometro_0",2025-05-20T01:30:16+00:00,https://www.youtube.com/watch?v=G85SxJInwgs,2787,10444,live
🔴DEVIL MAY CRY 3 DANTES'S AWAKENING NO PODER ALBERTO MARIO PART FINAL COM RAGE E MEUS PRESENTE A VCS,2025-05-19T02:14:02+00:00,https://www.youtube.com/watch?v=7Kqp-TfYMdE,4573,17105,live
🔴 VAMOS VER ANIME ? 1h30mins na kick,2025-05-17T03:55:35+00:00,https://www.youtube.com/watch?v=K5l5fkD2OCQ,2333,5979,live
🇵🇾 VIVENDO NO PARAGUAI IGUAL GTA 6 #sucesso #hotel #paraguai #games #autismo #campeão #sorteio #rs,2025-05-13T20:20:00+00:00,https://www.youtube.com/watch?v=JPjAZ23X4lQ,1458,97,upload
"🔴 VAMOS COMER MC FICHE 🍔, FINALMENTE!!!!!!",2025-05-12T05:47:07+00:00,https://www.youtube.com/watch?v=EO013GKxjCU,2202,2375,live
"🔴 RODÍZIO JACK NO PITARA DO CARIBE COM BÔNUS: LEAF, GTZETO E CARLINHOS",2025-05-11T13:28:39+00:00,https://www.youtube.com/watch?v=WQNd1hEQX6s,3823,9697,live
PS4 PRO EM TRANSIÇÃO AO CAMPEÃO (ft. @OFICIAL_ABIBAS ),2025-05-08T16:48:21+00:00,https://www.youtube.com/watch?v=BhsntxPMVuo,998,607,live
🔴 BEBENDO CREMOGEMA FERVERNDO DA FONTE DE RENANPLAY,2025-05-05T15:00:06+00:00,https://www.youtube.com/watch?v=UUPN4A2I4wA,1591,950,live
🔴 ANIVERSÁRIO DE 20 ANOS DO YOUTUBE 🎉: PRESENTE IRL🎁,2025-04-26T13:47:23+00:00,https://www.youtube.com/watch?v=kOA1KamxhZc,1449,2845,live
"🔴NARUTO STORM 4 NO PC 4090: AS MELHORES LUTAS DO ANIME EM 2560K E SENDO TROLADO DE NOVO, HJ TA TENSO",2025-04-25T00:32:23+00:00,https://www.youtube.com/watch?v=rGzkWlnZU34,2908,33179,live
CALVOESFERA SEMPRE ESTARÁ VIVA #renanplay #luangameplay #festival #barradatijuca #rj #amigos #brasil,2025-04-21T23:25:01+00:00,https://www.youtube.com/watch?v=8m5VXOjUX_s,1586,60,upload
PARABÉNS PELO SORTEIO FELIPE ROSISI DO PS4 PRO #ps4pro #plastation4 #playstation #sony #sorteio #ps4,2025-04-20T12:00:54+00:00,https://www.youtube.com/watch?v=XrrBdc3hDp8,1706,26,upload
APRENDA SER FORTE E DESCUBRA SUA FORÇA! #academia #motivação #treino #determinação #atleta #força,2025-04-18T12:40:00+00:00,https://www.youtube.com/watch?v=3vyPItTncVA,7450,181,upload
"🔴 THE LAST OF US PART II REMASTERED NO PC 4090, ESTOU AMANDOOO ESTA MAQUINA DO FUTURO",2025-04-17T13:23:05+00:00,https://www.youtube.com/watch?v=2q3UsVnBcxM,1465,2299,live
A REFLEXÃO DUM AMIGO PRA VIDA. #filosofia #amigos #reflexão #pensador #paz #autismo #blacklivematter,2025-04-13T16:44:16+00:00,https://www.youtube.com/watch?v=eL-D-GtBZkA,6612,56,upload
"🔴 THE LAST OF US PART II REMASTERED NO PC 4090, VAMOS TESTAR A MAQUINA DOS DEUSES",2025-04-12T06:37:27+00:00,https://www.youtube.com/watch?v=sWccRxbA6Co,1405,2907,live
NÃO HÀ TIMIDEZ DE SER AUTISTE MAROMBA #renanplay #autismo #amizade #praia #paz #harmonia #gratidão,2025-04-11T12:00:03+00:00,https://www.youtube.com/watch?v=228tBSRo_xs,3230,56,upload
🔴 LIVE INFINITA DIA 64 NO PC 4090: REACT DE COMIDA E GAMES NO MODO MELTDOWN,2025-04-10T20:13:06+00:00,https://www.youtube.com/watch?v=UVRWr5NEUhg,2516,12828,live
🔴 IRL NPC: A DIETA MUDOU E MEU SONHO DE PÔR 30CM DE SUBWAY COM CHURROS FOI DE F - EP 60,2025-04-06T20:10:42+00:00,https://www.youtube.com/watch?v=JK15ZhhKa8o,1689,12603,live
🔴 IRL NPC: ME VEJA SENDO UM NPC BEM LEGAL - EP 57,2025-04-03T20:45:26+00:00,https://www.youtube.com/watch?v=nH2LnjReNlk,1601,23185,live
🔴 LIVE INFINITA DIA 55: DESAFIO DO OUTLAST AUTISTE MODE 2 NO DIA DO FALARO,2025-04-02T08:13:01+00:00,https://www.youtube.com/watch?v=K67FtSUkRiY,1799,4463,live
🔴 IRL NPC: ME VEJA SENDO UM NPC BEM LEGAL - EP 54,2025-03-31T19:41:37+00:00,https://www.youtube.com/watch?v=cwP6Ua5qGoM,1668,24911,live
