Título,Data,URL,Visualizações,Duração (s),Foi Live?
O ANO ESTÁ PASSANDO RÁPIDO DEMAIS,2025-06-03T17:34:14+00:00,https://www.youtube.com/watch?v=aFcSsa2sKts,1029,6411,live
MARIO 3D LAND,2025-06-03T15:14:12+00:00,https://www.youtube.com/watch?v=UwcVPLHjTnE,1859,10598,live
SUA NAMORADA TÁ 150$ NO FATAL MODEL KKKKKKKKKKKK,2025-06-02T16:51:48+00:00,https://www.youtube.com/watch?v=RgUwHvviPGE,1213,6551,live
LIVE DE BAT-PAPO,2025-06-01T05:43:35+00:00,https://www.youtube.com/watch?v=WHTm-jFA4ss,1465,6205,live
PSG CAMPEÃO IMAGINA A CARA DO MBAPPE KKKKKKKKKKKKKKKKKKK,2025-05-31T23:47:38+00:00,https://www.youtube.com/watch?v=A7n-p0MAnjM,1493,5064,live
PSG CAMPEÃO IMAGINA A CARA DO MBAPPE KKKKKKKKKKKKKKKKKKK,2025-05-31T23:41:43+00:00,https://www.youtube.com/watch?v=yNs0u9AwZRk,230,7,live
GTA DO EXÉRCITO + COMPREI CHOCOLATE COM FORMATO DE C*,2025-04-29T01:12:07+00:00,https://www.youtube.com/watch?v=N6WUdZEDloo,3206,13008,live
DRAGON BALL BUDOKAI 3 VERY HARD (PS2) #2,2025-04-20T18:52:10+00:00,https://www.youtube.com/watch?v=34fIuoOBayI,3588,18224,live
MINECRAFT COM OS CRIAS,2025-04-04T11:28:35+00:00,https://www.youtube.com/watch?v=61HdnjxUvrc,2007,9866,live
SÉRIEZINHA QUIAPOUCO,2025-03-23T12:09:02+00:00,https://www.youtube.com/watch?v=p4Yd52YzwxU,788,4311,live
LIVEZINHA DE RADIO SÓ OS BRABO VEM,2025-03-14T13:58:38+00:00,https://www.youtube.com/watch?v=t2Xav4qFPsE,1657,12786,live
LIVEZINHA Super Luigi Land 2 SÓ OS BRABO VEM,2025-03-11T02:12:19+00:00,https://www.youtube.com/watch?v=GN8Vp4PIyU8,2474,19892,live
LAIVE DE RADIO COM BOT KKKK,2025-03-01T16:58:31+00:00,https://www.youtube.com/watch?v=wZ2NjRQjkO4,1280,10416,live
A LONGA E DEMORADA SAGA DO GTA IV 100% #1,2025-02-18T13:23:56+00:00,https://www.youtube.com/watch?v=22J2Vl4UTgk,1946,13509,live
CAÇADOR DE POMBOS #GTAIV,2025-02-04T18:22:22+00:00,https://www.youtube.com/watch?v=AF_Ybxz77_U,420,718,live
GTA IV BUGADO AAAAAAAAAAAAA,2025-01-13T21:58:41+00:00,https://www.youtube.com/watch?v=WEPVbNe7rNI,2928,12823,live
FILME,2025-01-12T23:54:34+00:00,https://www.youtube.com/watch?v=Ww-_Wb5NAd4,616,902,live
GTA IV OLHA AÍ Ó,2025-01-11T23:15:54+00:00,https://www.youtube.com/watch?v=N-6VLGEaJiU,2176,5553,live
GTAZIN DE LEVE,2025-01-01T19:05:02+00:00,https://www.youtube.com/watch?v=Ze17zrBA2gk,3669,12759,live
