Título,Data,URL,Visualizações,Duração,Tipo
ELE QUIS VER A ENTRADINHA E NÃO RESISTI... KKKKKKKKKKKKKKKK,2025-06-01T22:36:39+00:00,https://www.youtube.com/watch?v=PvW_J6TVlM0,275,PT4M31S,none
UM RECADO PRA VOCÊ... DINO,2025-05-31T20:18:49+00:00,https://www.youtube.com/watch?v=-oigB9C1XMI,1309,PT6M33S,none
NOVA FORMA DE MOSTR4R O P1RU PRUZOTO NO OMETV KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK,2025-05-31T17:04:16+00:00,https://www.youtube.com/watch?v=TSEye-gV5oE,850,PT1M6S,none
pega a dica #omeglelaughs,2025-05-29T21:02:37+00:00,https://www.youtube.com/watch?v=OVo24KIn_9s,1582,PT1M4S,none
JÁ ESTAVA COM SAUDADES DE MOSTRAR O PC GAMER PRUZOTO,2025-05-29T20:53:04+00:00,https://www.youtube.com/watch?v=uoFr7KLNPdc,891,PT1M1S,none
RICA TOMOU GOLPE DE UMA GP KKKKKKKKKKKKKKKKKKKKKK  - Wallace Reage,2025-05-22T15:49:10+00:00,https://www.youtube.com/watch?v=wYA9NoaBLz8,554,PT6M12S,none
QUEM NÃO ENTRAR DA O BUMBUM,2025-05-22T05:40:08+00:00,https://www.youtube.com/watch?v=qqRhhbAeFgQ,1260,PT4H3M20S,none
isso aí elon musk #shorts #omeagle #ometv #memes,2025-05-21T21:00:24+00:00,https://www.youtube.com/watch?v=Ok_AR7hwtHM,468,PT1M26S,none
igual #shorts,2025-05-21T20:30:07+00:00,https://www.youtube.com/watch?v=bS48QCPSfsY,1736,PT21S,none
índia kkkkkkkkkkkkkkkkk #shorts #omeagle #ometv #memes,2025-05-21T20:03:22+00:00,https://www.youtube.com/watch?v=GvMzd1HrLuw,1680,PT41S,none
koe kkkkkkkkkk #shorts #omeagle #ometv #memes,2025-05-21T17:51:47+00:00,https://www.youtube.com/watch?v=0wIV0SV4c7g,1688,PT14S,none
mogger #shorts #omeagle #ometv #memes,2025-05-21T17:49:10+00:00,https://www.youtube.com/watch?v=dVmXRW1kuFc,1102,PT15S,none
FINGI SER POLICIAL E 4BUZEI DO PODER NO GTA RP KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK,2025-05-14T15:53:05+00:00,https://www.youtube.com/watch?v=9_cvBh74jso,423,PT19M3S,none
PROCURANDO MÃES NO OMEGLE PARA DAR PRESENTE A ELAS,2025-05-11T05:39:39+00:00,https://www.youtube.com/watch?v=jdq5yLmKJWg,1243,PT3H38M24S,none
WALLACY TÁ MUITO FOGUENTO NO OMETV ULTIMAMENTE KKKKKKKKKK,2025-05-09T21:54:42+00:00,https://www.youtube.com/watch?v=E0jmMqElr4s,918,PT5M2S,none
LIGANDO PRA TIOZÃO NO FACEBOOK KKKKKKKKKKKKKKKKKK - Cortes da Live,2025-05-08T21:05:59+00:00,https://www.youtube.com/watch?v=jUtrs3pZ6L4,611,PT3M15S,none
😍MEU DEUS LUCIA! REAGINDO ao TRAILER do GTA 6 (Análise) - Wallace Gamer,2025-05-07T18:03:12+00:00,https://www.youtube.com/watch?v=HRFHBNOYGWw,209,PT5M25S,none
REACT DO TRAILER 2 DE GTA VI E JOGANDO GTA IV PELA PRIMEIRA VEZ,2025-05-07T02:21:33+00:00,https://www.youtube.com/watch?v=bDNpOhJldwY,491,PT2H26M11S,none
"Silvanno Salles, o cantor que da o r4b0",2025-05-06T04:16:30+00:00,https://www.youtube.com/watch?v=5oUl30gupyM,546,PT3H57M48S,none
🚨 ATENÇÃO! WALLACY FOI ASS4LT4DO!,2025-04-30T20:08:55+00:00,https://www.youtube.com/watch?v=gCx1mNOZNCQ,630,PT9M11S,none
Wallacy APRONTANDO no OMETV KKKKKKKKKKKKK,2025-04-29T23:57:08+00:00,https://www.youtube.com/watch?v=OVv4ucGjjeI,1125,PT8M55S,none
CARINHA DELE #shorts #omeagle #ometv,2025-04-27T18:04:34+00:00,https://www.youtube.com/watch?v=19FE4GxBK_I,1202,PT25S,none
FELICIDADE FOI EMBORA #shorts #omeagle #ometv,2025-04-26T18:59:14+00:00,https://www.youtube.com/watch?v=dCOSFk5VM5s,522,PT29S,none
MORDEU a CEBOLA achando que ia GANHAR alguma COISA KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK,2025-04-25T20:52:14+00:00,https://www.youtube.com/watch?v=Yxrp_ZvzBnI,594,PT4M50S,none
