Título,Data,URL,Visualizações,Duração,Tipo
💜 DOMINGOU DOS PIAZES! (Gameplayzinha e Radiozinho),2025-06-01T19:48:11+00:00,https://www.youtube.com/watch?v=0yVc10yD27g,961,P0D,live
O PIOR SUB-EMPREGO (supermercados) - nNold | BiahKov,2025-05-30T21:00:51+00:00,https://www.youtube.com/watch?v=lF3HaM9CiSs,4467,PT18M17S,none
A COMUNIDADE DE ZZZ É INSUPORTÁVELKKKK - Heraci | BiahKov,2025-05-29T15:00:38+00:00,https://www.youtube.com/watch?v=LcdDDe1hCaU,8374,PT20M47S,none
VELHOS sendo ENGANADOS por POSTAGENS de IA - Tamagoshi | BiahKov,2025-05-27T21:01:03+00:00,https://www.youtube.com/watch?v=saajHWiQtCE,4182,PT13M41S,none
Chat se importa muito com a Biah #biahkov #humor #engraçado #gameplay #fypシ゚viral #fyp #vtuberbr,2025-05-23T21:00:42+00:00,https://www.youtube.com/watch?v=cZVXFGfEKqI,3036,PT29S,none
Como DESTRUÍRAM a Seleção Brasileira - Samuel Baum | BiahKov,2025-05-22T15:01:00+00:00,https://www.youtube.com/watch?v=bRp7FY2op7E,6319,PT24M53S,none
Biah é muito boa no #gta #biahkov #humor #engraçado #gameplay #fypシ゚viral #fyp #vtuberbr #vtuber,2025-05-21T19:00:53+00:00,https://www.youtube.com/watch?v=vi9i2kBG9Zc,2265,PT24S,none
O Lado Sombrio das Redes Sociais - Samuel Baum | BiahKov,2025-05-20T15:00:44+00:00,https://www.youtube.com/watch?v=PD2y958zqTQ,3693,PT32M44S,none
As Técnicas de Sobrevivência Mais Insanas que podem salvar a sua VIDA! - Fala de Tudo | BiahKov,2025-05-17T15:00:01+00:00,https://www.youtube.com/watch?v=0dnj8DeOz6w,13189,PT22M55S,none
O YETI É BIZARRO - Mulho | BiahKov,2025-05-16T15:00:47+00:00,https://www.youtube.com/watch?v=S6ZWYwHWphU,4095,PT16M14S,none
BIah não odeia mulher #biahkov #humor #engraçado #gameplay #fypシ゚viral #fyp #vtuberbr,2025-05-14T19:00:16+00:00,https://www.youtube.com/watch?v=IxtoTW8b-Ag,3770,PT35S,none
"Pessoas que se relacionam com objetos, de boneca reborn a boneca inflá...- Engeek | BiahKov",2025-05-13T15:00:17+00:00,https://www.youtube.com/watch?v=4FzqUDkZjuU,14427,PT13M39S,none
Polícia m4chista #biahkov #humor #engraçado #gameplay #fypシ゚viral #fyp #vtuberbr,2025-05-12T19:00:24+00:00,https://www.youtube.com/watch?v=UX5i2nYVgQo,3548,PT25S,none
Ficou feião #biahkov #humor #engraçado #gameplay #fypシ゚viral #fyp #vtuberbr,2025-05-10T19:00:19+00:00,https://www.youtube.com/watch?v=F1Kp5gKLFtc,8552,PT27S,none
"OS VÍDEOS DE ""GATO FOFO AI"" SÃO BIZARROS - DerGelo | BiahKov",2025-05-09T15:00:58+00:00,https://www.youtube.com/watch?v=TBy8eJlqBcE,3925,PT11M28S,none
Mais um dia no GTA... #biahkov #humor #engraçado #gameplay #fypシ゚viral #fyp #vtuberbr,2025-05-08T19:00:06+00:00,https://www.youtube.com/watch?v=3oAkrIeS6ec,3452,PT46S,none
O INTANKAVEL pastor MIRIM do TIKTOK - Saitu | BiahKov,2025-05-07T15:00:00+00:00,https://www.youtube.com/watch?v=-A7gSAQsOsk,7479,PT13M23S,none
Africano no mine #vtuber #biahkov #humor #engraçado #gameplay #fypシ゚viral #fyp #vtuberbr #minecraft,2025-05-06T19:00:09+00:00,https://www.youtube.com/watch?v=4tHkqD7x6NY,7245,PT13S,none
A VERDADE SOBRE A PR0ST1TU1ÇÃ0 NA TAILÂNDIA - Nômade Raiz | BiahKov,2025-05-05T15:00:03+00:00,https://www.youtube.com/watch?v=0bIs_t032Qg,8254,PT47M38S,none
Os Paneleiro do Discord que iam Incendi4r um Morador de Rua - Neon | BiahKov,2025-05-02T15:01:38+00:00,https://www.youtube.com/watch?v=wmEmJHQLl_Q,6084,PT20M32S,none
A Rainha dos times  #vtuber #biahkov #humor #engraçado #gameplay #fypシ゚viral #fyp #vtuberbr,2025-04-29T19:00:52+00:00,https://www.youtube.com/watch?v=wyjndekvm8w,3129,PT21S,none
Katty Perry e sua viagem espacial (racharia na moral kkkk) - Pcini | BiahKov,2025-04-29T15:00:51+00:00,https://www.youtube.com/watch?v=Ytn61hVH17I,5069,PT14M44S,none
Fui no banheiro e virou varzea #vtuber  #streamer  #engraçado #fypviral  #donate  #ias,2025-04-26T19:30:07+00:00,https://www.youtube.com/watch?v=Y_gtYw0_v-4,5307,PT32S,none
A literal queda do 4chan - Pcini | BiahKov,2025-04-26T15:01:14+00:00,https://www.youtube.com/watch?v=m1Tr7QROAHc,5152,PT15M10S,none
Chat trollando a live da Biah como sempre #vtuber #biahkov #humor #engraçado #react #tiktok #donate,2025-04-23T17:30:08+00:00,https://www.youtube.com/watch?v=gTXEom2vlJY,11471,PT32S,none
AGORA É CR1ME SER IDOSO NO JAPÃO - Baka Gaijin | BiahKov,2025-04-23T15:00:06+00:00,https://www.youtube.com/watch?v=2Y5lXhIQ7pQ,6149,PT22M30S,none
as famosas ¨PICK ME GIRLS¨ - Fhany | BiahKov,2025-04-21T15:00:14+00:00,https://www.youtube.com/watch?v=4BkPkmapO7g,13237,PT15M28S,none
"SUBCOMUNIDADE ""SHADOW BOXING"" QUE ACHA QUE ATIVAM ADRENALINA - cellinke | BiahKov",2025-04-18T15:00:25+00:00,https://www.youtube.com/watch?v=K1b_ruo4p1w,7947,PT15M13S,none
A Treta do Studio Ghibli vs ChatGPT não faz sentido - Samuel Baum | BiahKov,2025-04-15T15:00:49+00:00,https://www.youtube.com/watch?v=RZS6oBjbtrc,4317,PT15M49S,none
"N4zipardos, os cabas que pensam ser da ""raça ariana"" - ENGEEK | BiahKov",2025-04-11T15:00:13+00:00,https://www.youtube.com/watch?v=6et9hLGMnqc,48632,PT26M30S,none
QUEDAS TRISTES DE VER - Teuso | BiahKov,2025-04-07T15:00:23+00:00,https://www.youtube.com/watch?v=L7dUQfdRe3s,7518,PT17M59S,none
Minecraft e suas atualizações patéticas - Pcini | BiahKov,2025-04-04T15:00:09+00:00,https://www.youtube.com/watch?v=6AHbmS4gL9E,11502,PT21M3S,none
pessoas que NAMORAM PERSONAGENS DE ANIME - Fhany | BiahKov,2025-04-02T15:00:46+00:00,https://www.youtube.com/watch?v=XFfnYXdDeQI,8224,PT11M26S,none
O Fim da Cultura Woke (part. ‪@ENGEEK‬) - Samuel Baum | BiahKov,2025-03-30T15:30:00+00:00,https://www.youtube.com/watch?v=-kr64sq3Rus,25810,PT35M26S,none
O Herobrine dava mais medo...,2025-03-28T19:00:34+00:00,https://www.youtube.com/watch?v=_QlyDUTceak,14852,PT22S,none
