Título,Data,URL,Visualizações,Duração,Tipo
livezinha só os brabos,2025-06-01T20:00:27+00:00,https://www.youtube.com/watch?v=T04Qrc_q2NM,618,PT1H54M43S,none
livezinha só os brabos,2025-06-01T00:30:24+00:00,https://www.youtube.com/watch?v=LEDi1SfDlII,687,PT3H6M57S,none
livezinha só os brabos,2025-05-30T22:00:54+00:00,https://www.youtube.com/watch?v=MMdJgu72b0E,810,PT2H3M24S,none
papelao gamer,2025-05-28T00:21:09+00:00,https://www.youtube.com/watch?v=iu9FwNW9eH4,1208,PT3H18S,none
livezinha com os brabos,2025-05-20T00:44:18+00:00,https://www.youtube.com/watch?v=WkDKVVVsLcs,658,PT3H3M52S,none
livezinha com os brabos,2025-05-17T11:50:40+00:00,https://www.youtube.com/watch?v=HAPsCu6BJ90,640,PT1H28M56S,none
livezinha com os brabos,2025-05-12T23:22:40+00:00,https://www.youtube.com/watch?v=CzBanCAxYHE,1060,PT3H20M31S,none
Infelizmente hj não deu pra fazer live me desculpa por tudo tmj sempre,2025-05-04T21:58:32+00:00,https://www.youtube.com/watch?v=tmdvlpDlDOg,394,PT2M1S,none
livezinha com os brabos,2025-04-26T11:30:10+00:00,https://www.youtube.com/watch?v=NG3n1ljMCbI,972,PT1H7M57S,none
livezinha com os brabos,2025-04-22T10:13:07+00:00,https://www.youtube.com/watch?v=ODYybtPc-Es,824,PT1H19M2S,none
livezinha com os brabos,2025-04-20T11:10:03+00:00,https://www.youtube.com/watch?v=qXcqrHFOdCM,1252,PT1H43M56S,none
livezinha com os brabos,2025-04-13T22:50:20+00:00,https://www.youtube.com/watch?v=jolpDjTEpNE,1154,PT2H12M58S,none
livezinha com os brabos,2025-03-16T06:02:32+00:00,https://www.youtube.com/watch?v=DuTqNVZ9yeY,1600,PT51M32S,none
livezinha com os brabos,2025-03-14T11:51:22+00:00,https://www.youtube.com/watch?v=zsLCuvHbieM,1751,PT1H33M24S,none
livezinha com os brabos,2025-03-10T10:14:14+00:00,https://www.youtube.com/watch?v=XnnGYVs2wts,3279,PT1H54M42S,none
livezinha com os brabos,2025-02-21T11:35:15+00:00,https://www.youtube.com/watch?v=q-7wOzl_gbo,1035,PT1H32M9S,none
livezinha com os brabos,2025-02-14T09:03:29+00:00,https://www.youtube.com/watch?v=bO4A53h3MrM,926,PT19M34S,none
livezinha com os brabos,2025-02-09T10:25:38+00:00,https://www.youtube.com/watch?v=xuP7VFQni1w,1746,PT24M28S,none
livezinha com os brabos,2025-01-27T02:21:36+00:00,https://www.youtube.com/watch?v=uQJ1ngQEhH8,5399,PT5H34M36S,none
PC QUEIMOU FAMILIA,2025-01-22T03:30:12+00:00,https://www.youtube.com/watch?v=sxNJbk4F20I,2933,PT3H7M41S,none
📍tokokudoeno🇯🇵,2025-01-16T03:14:57+00:00,https://www.youtube.com/watch?v=xTlIEoPZXi4,3055,PT4H12M49S,none
livezinha só os brabo,2025-01-05T08:58:17+00:00,https://www.youtube.com/watch?v=pze3vfN7MHQ,4826,PT5H40M20S,none
livezinha só os brabo,2025-01-03T10:17:28+00:00,https://www.youtube.com/watch?v=tpn0p52Twr0,2872,PT1H35M52S,none
